"","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"fre1",18,64,62.8528528528529,4.39089162105204,620,0.261256083308267,0.62,999
"fre2",25,77,76.3013013013013,4.97149271224288,568.5,0.140541028447666,0.5685,999
"fre3",17,65,60.8578578578579,4.56810145658469,814,0.906753534593995,0.814,999
"fre4",22,73,70.8298298298298,4.70609878802777,684.5,0.461139952202245,0.6845,999
"fre5",21,70,68.8388388388388,4.9942906334048,594,0.232497715169923,0.594,999
"fre6",26,78,77.8878878878879,4.73331299908828,504,0.0236857592417213,0.504,999
"fre7",26,77,78.044044044044,5.11256674670768,412,-0.204211327845523,0.412,999
"fre8",27,77,79.9089089089089,4.97556259703611,297,-0.584639194498672,0.297,999
"fre9",24,67,74.4624624624625,4.7732494343652,53.5,-1.56339252014281,0.0535,999
"fre10",12,46,49.6486486486486,4.14681417612343,187.5,-0.879867892238063,0.1875,999
"fone1",30,83,85.3703703703704,4.92009936062269,315,-0.481772866080976,0.315,999
"fone2",26,77,78.1931931931932,4.79036626277959,410.5,-0.249081829601240,0.4105,999
"fone3",29,87,83.6186186186186,4.93725091390618,752.5,0.684871285730576,0.7525,999
"fone4",22,73,70.5025025025025,4.7095757719403,710.5,0.53030200987053,0.7105,999
"fone5",36,100,95.6156156156156,5.00044050127686,797.5,0.876799630605511,0.7975,999
"fone6",26,78,78.1491491491492,4.93979553591544,501.5,-0.0301933851441308,0.5015,999
"fone7",32,90,89.1771771771772,4.99815994595314,586,0.164625148398671,0.586,999
"fone8",20,75,67.062062062062,4.60179368969070,948,1.72496606176003,0.948,999
"fone9",31,89,87.1351351351351,5.00328116355256,635,0.372728376420231,0.635,999
"fone10",22,70,70.9209209209209,4.67851790766879,425.5,-0.196840311204408,0.4255,999
"bc1",29,79,83.4044044044044,4.91007518244019,196.5,-0.89701363843792,0.1965,999
"bc2",27,77,80.038038038038,4.77117204887798,270.5,-0.63674879189328,0.2705,999
"bc3",18,64,62.7257257257257,4.55943260727136,615,0.279480888091661,0.615,999
"bc4",18,62,62.7917917917918,4.37320735591721,449.5,-0.181055167832473,0.4495,999
"bc5",32,90,88.6556556556557,4.95809549801943,606,0.271141276903877,0.606,999
"bc6",34,98,92.2782782782783,5.03660335795955,872.5,1.13602785748047,0.8725,999
"bc7",24,72,74.7377377377377,4.96634840907562,290.5,-0.551257687184154,0.2905,999
"bc8",19,61,64.7587587587588,4.49302073571043,209.5,-0.836577211603816,0.2095,999
"bc9",25,74,76.3233233233233,4.72601703770182,317,-0.491602824278669,0.317,999
"bc10",14,54,54.3003003003003,4.3854731397226,476,-0.068476146297705,0.476,999
"narr1",26,75,78.1701701701702,4.8431377264275,265,-0.654569485577817,0.265,999
"narr2",28,86,81.6256256256256,4.76501781460794,812.5,0.918018472242435,0.8125,999
"narr3",24,75,74.8498498498498,4.83075043621915,512.5,0.0310821583794485,0.5125,999
"narr4",23,69,72.7777777777778,4.88860548560163,241.5,-0.772772069438703,0.2415,999
"narr5",26,78,78.3193193193193,4.81284365684859,472.5,-0.0663473285413986,0.4725,999
"narr6",21,67,68.7817817817818,4.7942045453729,376,-0.371653266964061,0.376,999
"narr7",32,91,88.7557557557558,5.23825190023782,665,0.428433814750748,0.665,999
"narr8",28,85,81.8328328328328,5.03286623786283,746,0.629296909053574,0.746,999
"narr9",25,74,76.3473473473474,4.95293181232546,319,-0.473930883018808,0.319,999
"narr10",26,76,78.4794794794795,4.78027524229657,318,-0.518689689150257,0.318,999
