"","fr_00","fo_00","bc_00","na_00","fr_01","fo_01","bc_01","na_01","fr_02","fo_02","bc_02","na_02","fr_03","fo_03","bc_03","na_03"
"fr_00",0,9.44056754991244,10.0849950019558,9.88647462892095,6.40669779799275,7.83923680875398,8.74879612325612,9.09023624026137,7.24567389759482,9.04465999432536,10.970622631774,10.7729968950164,8.71607887612497,10.2313680154143,9.63093386505569,9.91813341814863
"fo_00",9.44056754991244,0,11.1798798991781,11.0355520304735,9.20991743309648,9.28498966538182,10.3118737013474,10.5792543044717,9.67820470693306,9.04721145962724,11.7785986072786,11.655017998768,10.2986271893445,9.55471633076571,10.5583695009454,10.9800742467409
"bc_00",10.0849950019558,11.1798798991781,0,8.19024639160227,10.0919915504585,10.7749427043545,9.3766951212618,9.18494932984635,10.2367401393217,11.7973420075695,7.17472584331454,7.28425751879699,10.2119215760921,11.880030075188,8.75709783071296,9.38005684066626
"na_00",9.88647462892095,11.0355520304735,8.19024639160227,0,9.81801090738858,10.5339875864725,9.23775435819466,9.03006864988558,10.0538867179957,11.5761399598485,7.34645155949252,7.41330388560305,10.1832743083558,11.7626736431723,8.80113916543009,9.44578324431073
"fr_01",6.40669779799275,9.20991743309648,10.0919915504585,9.81801090738858,0,7.27333628822896,8.45276269252248,8.77612018533252,6.71586712343158,8.47505260398806,10.9428850678978,10.684045253542,8.86941314330095,10.0923629549894,9.76703539490892,10.1985372963674
"fo_01",7.83923680875398,9.28498966538182,10.7749427043545,10.5339875864725,7.27333628822896,0,9.38585662016003,9.67500209253662,8.13057345994049,8.4912976792782,11.5231262919496,11.2981735077323,9.77126514587423,9.73058665082194,10.3582545524735,10.848137553412
"bc_01",8.74879612325612,10.3118737013474,9.3766951212618,9.23775435819466,8.45276269252248,9.38585662016003,0,8.96561229159856,8.86572133756444,10.4381663977075,9.26569471259746,9.18834586466165,9.5702312743885,10.9915956558062,9.24885182603761,9.76174551210562
"na_01",9.09023624026137,10.5792543044717,9.18494932984635,9.03006864988558,8.77612018533252,9.67500209253662,8.96561229159856,0,9.1954923678845,10.7703017115119,8.88736959086324,8.81280258519389,9.86339900935608,11.2871690821256,9.27413489317687,9.84316371957562
"fr_02",7.24567389759482,9.67820470693306,10.2367401393217,10.0538867179957,6.71586712343158,8.13057345994049,8.86572133756444,9.1954923678845,0,9.20087500045745,10.9107956581525,10.747849441647,8.91060146636505,10.4090099985917,9.69764533043042,10.0239173807315
"fo_02",9.04465999432536,9.04721145962724,11.7973420075695,11.5761399598485,8.47505260398806,8.4912976792782,10.4381663977075,10.7703017115119,9.20087500045745,0,12.538691200476,12.3265638412715,10.7693778097245,8.87081595551278,11.2826276449006,11.8140598017048
"bc_02",10.970622631774,11.7785986072786,7.17472584331454,7.34645155949252,10.9428850678978,11.5231262919496,9.26569471259746,8.88736959086324,10.9107956581525,12.538691200476,0,5.10169576526979,10.8262846135084,12.5476992761539,8.28849127250826,9.17484453994171
"na_02",10.7729968950164,11.655017998768,7.28425751879699,7.41330388560305,10.684045253542,11.2981735077323,9.18834586466165,8.81280258519389,10.747849441647,12.3265638412715,5.10169576526979,0,10.8096326548067,12.4411699199199,8.3837625823116,9.27988571705677
"fr_03",8.71607887612497,10.2986271893445,10.2119215760921,10.1832743083558,8.86941314330095,9.77126514587423,9.5702312743885,9.86339900935608,8.91060146636505,10.7693778097245,10.8262846135084,10.8096326548067,0,10.7565569620253,9.28252354596525,9.36533341408758
"fo_03",10.2313680154143,9.55471633076571,11.880030075188,11.7626736431723,10.0923629549894,9.73058665082194,10.9915956558062,11.2871690821256,10.4090099985917,8.87081595551278,12.5476992761539,12.4411699199199,10.7565569620253,0,11.0886683073558,11.4444479886585
"bc_03",9.63093386505569,10.5583695009454,8.75709783071296,8.80113916543009,9.76703539490892,10.3582545524735,9.24885182603761,9.27413489317687,9.69764533043042,11.2826276449006,8.28849127250826,8.3837625823116,9.28252354596525,11.0886683073558,0,8.95640712639979
"na_03",9.91813341814863,10.9800742467409,9.38005684066626,9.44578324431073,10.1985372963674,10.848137553412,9.76174551210562,9.84316371957562,10.0239173807315,11.8140598017048,9.17484453994171,9.27988571705677,9.36533341408758,11.4444479886585,8.95640712639979,0
