"","fr2000","fo2000","na2000","fr2001","fo2001","na2001","fr2002","fo2002","na2002","fr2003","fo2003","na2003"
"fr2000",0,17.793401340761,17.8380948311938,17.7785228850213,17.8096593870744,17.0341624148381,17.7240543661834,17.3458588278966,17.7809573045047,17.4912132735708,17.4070372428244,18.2783997197244
"fo2000",17.793401340761,0,17.6640186500983,17.7178477397437,17.6738469830756,16.990133038705,17.6458644231299,17.2663995791811,17.7443112005424,17.4276116466063,17.4445128479449,18.1515354027371
"na2000",17.8380948311938,17.6640186500983,0,17.7218993329951,17.6869046293093,17.0216407224884,17.6859483285917,17.2842746827602,17.7728787648314,17.4303989701133,17.4766965652349,18.1146341042664
"fr2001",17.7785228850213,17.7178477397437,17.7218993329951,0,17.6828342266707,16.9507221114439,17.6375546642245,17.237453224975,17.6903177612485,17.4173465255018,17.4110125003988,18.1091240237622
"fo2001",17.8096593870744,17.6738469830756,17.6869046293093,17.6828342266707,0,16.9763468107592,17.6289310496671,17.2120040576632,17.6903180326053,17.3932495912515,17.4031359734711,18.1167279049791
"na2001",17.0341624148381,16.990133038705,17.0216407224884,16.9507221114439,16.9763468107592,0,16.8769525654158,16.4224210095077,16.9830129550262,16.7073692352066,16.6601484177859,17.586732453133
"fr2002",17.7240543661834,17.6458644231299,17.6859483285917,17.6375546642245,17.6289310496671,16.8769525654158,0,17.1481909532711,17.6170793928664,17.3146543990911,17.3363140697291,18.1328737954698
"fo2002",17.3458588278966,17.2663995791811,17.2842746827602,17.237453224975,17.2120040576632,16.4224210095077,17.1481909532711,0,17.2182767393704,16.9363180159578,16.9261865327421,17.7280201456854
"na2002",17.7809573045047,17.7443112005424,17.7728787648314,17.6903177612485,17.6903180326053,16.9830129550262,17.6170793928664,17.2182767393704,0,17.4175485917664,17.3819796211026,18.1306210858622
"fr2003",17.4912132735708,17.4276116466063,17.4303989701133,17.4173465255018,17.3932495912515,16.7073692352066,17.3146543990911,16.9363180159578,17.4175485917664,0,17.0266837511324,17.8141166102366
"fo2003",17.4070372428244,17.4445128479449,17.4766965652349,17.4110125003988,17.4031359734711,16.6601484177859,17.3363140697291,16.9261865327421,17.3819796211026,17.0266837511324,0,17.8517169088313
"na2003",18.2783997197244,18.1515354027371,18.1146341042664,18.1091240237622,18.1167279049791,17.586732453133,18.1328737954698,17.7280201456854,18.1306210858622,17.8141166102366,17.8517169088313,0
