"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"fr_00",50,0.605491329479769,1.24811950679003,1.18771291668288,318,-0.54106355861232,0.318,999
"fo_00",52,1.18138651471985,1.17520939743162,1.03299520276556,681.5,0.00597981217307787,0.6815,999
"bc_00",45,2.77293233082707,1.50847388742126,1.46041243374137,888,0.865822841679351,0.888,999
"na_00",44,1.72714681440443,1.51192050776538,1.41106642234593,732,0.152527409929598,0.732,999
"fr_01",46,0.814854682454252,1.40808623478161,1.8117882840471,491.5,-0.327428738529106,0.4915,999
"fo_01",48,0.880213903743316,1.28747464041582,1.22204946404946,503.5,-0.333260435566149,0.5035,999
"bc_01",40,1.90827067669173,1.68480811638706,1.23719062516587,707,0.180620961522971,0.707,999
"na_01",37,1.95652173913043,1.85973799886843,1.45217418755976,689.5,0.0666474732102468,0.6895,999
"fr_02",38,2.47528517110266,1.6354034643008,1.68819503943221,817,0.49750276904281,0.817,999
"fo_02",42,0.513474494706448,1.62309277516207,1.94057999114959,309,-0.57179723872052,0.309,999
"bc_02",37,1.24891860007865,1.99512568014338,3.46953897398094,684,-0.21507384285369,0.684,999
"na_02",38,1.37964527027027,1.85512116846576,2.93960379280286,672,-0.161748293888999,0.672,999
"fr_03",47,0.991139240506329,1.33002496167053,0.763230263467212,391,-0.44401504681524,0.391,999
"fo_03",47,0.691851851851852,1.393774515256,1.61685310205504,351.5,-0.434128902936199,0.3515,999
"bc_03",51,2.12879409351928,1.259191923671,0.954624907286678,864,0.910935974130337,0.864,999
"na_03",53,1.31196172248804,1.13233616391511,0.77990503344062,728,0.230317219239492,0.728,999
