"year","crosstype","indiv_SR","indiv_MPD","indiv_Rand_MPD","indiv_Rand_SD","indiv_NRI","indiv_pval","indiv_pval_fisher","indiv_PD","pool_SR","pool_MPD","pool_Rand_MPD","pool_Rand_SD","pool_mpd.obs.z","pool_pval","pool_NRI","pool_crosstype_fr","pool_crosstype_na","pool_MPDu","pool_MPDl","pool_NRIu","pool_NRIl","pool_PD"
"2000","Hybrid",19.7,15.2791724015545,16.5584866198088,1.3780104674828,0.762790608107875,0.33205,0.00189328525370568,104.9,66,13.5457342657343,17.2344156998702,1.49547246533141,-2.46656593126811,0.007,2.46656593126811,"fr","fr",15.0412067310657,12.0502618004029,3.96203839659952,0.9710934659367,244
"2000","Fremont",16.5,12.402980648032,15.7894250982688,1.76350313628726,1.90281917605054,0.04385,0.000000148709087489001,96.1,62,19.8430922734622,17.9430126063793,1.52280044714799,1.24775355210958,0.903,-1.24775355210958,"fo","fo",21.3658927206102,18.3202918263142,0.27504689503841,-2.77055399925757,213
"2000","Narrowleaf",16.05,12.6764248747559,14.9634181691105,1.60130248421157,1.43356214325005,0.112,0.000000164904711607749,89.475,66,13.422091922736,17.0431986937055,1.62343107517943,-2.23052695388951,0.015,2.23052695388951,"na","na",15.0455229979154,11.7986608475566,3.85395802906894,0.60709587871008,227
"2001","Hybrid",19.2,14.6450870468102,15.5871139527508,1.82151837938812,0.596038565906343,0.3094,0.024708356105902,106.1,56,11.9344230285837,14.4657776335119,1.46967908420276,-1.72238594951583,0.028,1.72238594951583,"fr","fr",13.4041021127865,10.4647439443809,3.19206503371859,0.25270686531307,219
"2001","Fremont",15.9,10.9813578878251,13.0084656629711,1.54828386165624,1.25944285252308,0.14465,0.000682998223578501,92.65,56,17.8719978991971,17.1965090769525,1.64573968695738,0.410446942246031,0.61,-0.410446942246031,"fo","fo",19.5177375861545,16.2262582122397,1.23529274471135,-2.05618662920341,195.5
"2001","Narrowleaf",13.6,14.5771686412122,16.72877260749,1.85332316036764,1.2148057931088,0.16455,0.0000287629090141056,83.95,52,15.9244187996701,18.2123374563609,1.47219743128297,-1.55408412491042,0.067,1.55408412491042,"na","na",17.3966162309531,14.4522213683871,3.02628155619339,0.08188669362745,200.5
"2002","Hybrid",17.4,12.4203769231768,12.6719783833018,1.6109365487384,0.177482157305006,0.4206,0.358044006959815,103.3,40,13.1969038535612,14.8579616358724,1.68995808297866,-0.982898806213908,0.161,0.982898806213908,"fr","fr",14.8868619365399,11.5069457705825,2.67285688919257,-0.707059276764752,184
"2002","Fremont",12,10.491632164082,12.3066867135001,1.60371740373451,0.987082505961921,0.23365,0.00848367516225746,79.05,46,17.8747984877469,14.4798646374627,2.38112165084781,1.42577085428432,0.965,-1.42577085428432,"fo","fo",20.2559201385947,15.4936768368991,0.95535079656349,-3.80689250513213,179
"2002","Narrowleaf",14.2,9.27574149501075,10.5757996161796,1.63483301680081,0.792381069975094,0.2315,0.00542136024664444,93.225,49,7.87359063066074,9.22715596517759,1.32323489487598,-1.02292143273906,0.143,1.02292143273906,"na","na",9.19682552553672,6.55035573578476,2.34615632761504,-0.30031346213692,206
"2003","Hybrid",29.5,15.9715571142016,17.8486506969704,1.1036662550812,1.59421502535404,0.1607,0.00000934187128198521,137.75,75,15.6582194638397,19.5956184489497,0.982956925060897,-4.00566788302152,0.001,4.00566788302152,"fr","fr",16.6411763889006,14.6752625387788,4.98862480808242,3.02271095796062,244.5
"2003","Fremont",23.3,14.8613085885365,18.3368709523506,1.42692750953937,2.42432168982662,0.0317,0.00000000131371020933107,114.4,85,19.3935362679093,17.1174861672905,1.31546488035249,1.73022490726542,0.951,-1.73022490726542,"fo","fo",20.7090011482618,18.0780713875568,-0.41476002691293,-3.04568978761791,261
"2003","Narrowleaf",27,14.4984916463676,17.8357847172994,1.35551681366071,2.49096385030664,0.0657,5.62131622053303e-20,128.4,108,15.1225230675637,19.2113039611709,1.0933658079647,-3.73962754626327,0.001,3.73962754626327,"na","na",16.2158888755284,14.029157259599,4.83299335422797,2.64626173829857,302
