"","metric","Estimate","Std..Error","t.value","CI"
"(Intercept)","PD",73.3980446927615,47.9857827198139,1.52957898220246,"(-41.64,188.43)"
"crosstypefr","PD",7.99135929191633,4.09796557210374,1.95007965569947,"(0.19,15.79)"
"crosstypena","PD",5.24788820084814,4.13431248236773,1.26934967379211,"(-2.62,13.12)"
"SR","PD",1.53878643063876,0.0948632370086605,16.2211039720084,"(1.36,1.72)"
"(Intercept)1","MPD",13.8426173486122,3.61492637947486,3.82929440201301,"(5.16,22.52)"
"crosstypefr1","MPD",-3.33316576179094,0.946607743883804,-3.52116891429116,"(-5.18,-1.48)"
"crosstypena1","MPD",-3.38008487724187,0.946607743883804,-3.57073444526646,"(-5.23,-1.53)"
"(Intercept)2","NRI",-0.295657710886029,0.511642074575729,-0.577860433255413,"(-1.38,0.78)"
"crosstypefr2","NRI",2.8340574969038,0.45683551709874,6.20367154222654,"(1.94,3.73)"
"crosstypena2","NRI",2.20902838341894,0.45683551709874,4.83550052642138,"(1.31,3.11)"
